Election,County,Office,Party,Candidate,Votes,ElectionDayVotes,MailVotes,ProvisionalVotes
2020 Presidential Election,GREENE,President of the United States,Libertarian,"JORGENSEN, JO",179,138,38,3
2020 Presidential Election,HUNTINGDON,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",5445,2718,2697,30
2020 Presidential Election,HUNTINGDON,President of the United States,Republican,"TRUMP, DONALD J.",17061,15130,1834,97
2020 Presidential Election,HUNTINGDON,President of the United States,Libertarian,"JORGENSEN, JO",286,219,64,3
2020 Presidential Election,INDIANA,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",12634,5801,6675,158
2020 Presidential Election,INDIANA,President of the United States,Republican,"TRUMP, DONALD J.",28089,24008,3830,251
2020 Presidential Election,INDIANA,President of the United States,Libertarian,"JORGENSEN, JO",475,347,119,9
2020 Presidential Election,JEFFERSON,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4527,2283,2196,48
2020 Presidential Election,JEFFERSON,President of the United States,Republican,"TRUMP, DONALD J.",17960,15775,1963,222
2020 Presidential Election,JEFFERSON,President of the United States,Libertarian,"JORGENSEN, JO",337,261,70,6
2020 Presidential Election,JUNIATA,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",2253,1123,1112,18
2020 Presidential Election,JUNIATA,President of the United States,Republican,"TRUMP, DONALD J.",9649,8360,1211,78
2020 Presidential Election,JUNIATA,President of the United States,Libertarian,"JORGENSEN, JO",141,109,30,2
2020 Presidential Election,LACKAWANNA,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",61991,29016,32119,856
2020 Presidential Election,LACKAWANNA,President of the United States,Republican,"TRUMP, DONALD J.",52334,42665,8794,875
2020 Presidential Election,LACKAWANNA,President of the United States,Libertarian,"JORGENSEN, JO",1085,758,313,14
2020 Presidential Election,LANCASTER,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",115847,51178,62503,2166
2020 Presidential Election,LANCASTER,President of the United States,Republican,"TRUMP, DONALD J.",160209,132043,25509,2657
2020 Presidential Election,LANCASTER,President of the United States,Libertarian,"JORGENSEN, JO",4183,2932,1172,79
2020 Presidential Election,LAWRENCE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",15978,7840,7994,144
2020 Presidential Election,LAWRENCE,President of the United States,Republican,"TRUMP, DONALD J.",29597,25029,4318,250
2020 Presidential Election,LAWRENCE,President of the United States,Libertarian,"JORGENSEN, JO",501,365,133,3
2020 Presidential Election,LEBANON,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",23932,9392,14009,531
2020 Presidential Election,LEBANON,President of the United States,Republican,"TRUMP, DONALD J.",46731,38057,7831,843
2020 Presidential Election,LEBANON,President of the United States,Libertarian,"JORGENSEN, JO",989,720,247,22
2020 Presidential Election,LEHIGH,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",98288,39263,57544,1481
2020 Presidential Election,LEHIGH,President of the United States,Republican,"TRUMP, DONALD J.",84259,65064,17802,1393
2020 Presidential Election,LEHIGH,President of the United States,Libertarian,"JORGENSEN, JO",2166,1419,716,31
2020 Presidential Election,LUZERNE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",64873,25390,38389,1094
2020 Presidential Election,LUZERNE,President of the United States,Republican,"TRUMP, DONALD J.",86929,67490,17615,1824
2020 Presidential Election,LUZERNE,President of the United States,Libertarian,"JORGENSEN, JO",1519,984,503,32
2020 Presidential Election,LYCOMING,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",16971,8814,7911,246
2020 Presidential Election,LYCOMING,President of the United States,Republican,"TRUMP, DONALD J.",41462,36162,4731,569
2020 Presidential Election,LYCOMING,President of the United States,Libertarian,"JORGENSEN, JO",821,613,197,11
2020 Presidential Election,McKEAN,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",5098,2754,2344,0
2020 Presidential Election,McKEAN,President of the United States,Republican,"TRUMP, DONALD J.",14083,12311,1772,0
2020 Presidential Election,McKEAN,President of the United States,Libertarian,"JORGENSEN, JO",285,223,62,0
2020 Presidential Election,MERCER,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",21067,10737,9817,513
2020 Presidential Election,MERCER,President of the United States,Republican,"TRUMP, DONALD J.",36143,30517,4880,746
2020 Presidential Election,MERCER,President of the United States,Libertarian,"JORGENSEN, JO",744,553,172,19
2020 Presidential Election,MIFFLIN,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4603,1983,2583,37
2020 Presidential Election,MIFFLIN,President of the United States,Republican,"TRUMP, DONALD J.",16670,14350,2187,133
2020 Presidential Election,MIFFLIN,President of the United States,Libertarian,"JORGENSEN, JO",229,162,64,3
2020 Presidential Election,MONROE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",44060,18689,25345,26
2020 Presidential Election,MONROE,President of the United States,Republican,"TRUMP, DONALD J.",38726,30432,8259,35
2020 Presidential Election,MONROE,President of the United States,Libertarian,"JORGENSEN, JO",1043,654,388,1
2020 Presidential Election,MONTGOMERY,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",319511,116744,200541,2226
2020 Presidential Election,MONTGOMERY,President of the United States,Republican,"TRUMP, DONALD J.",185460,143424,40418,1618
2020 Presidential Election,MONTGOMERY,President of the United States,Libertarian,"JORGENSEN, JO",5186,3280,1872,34
2020 Presidential Election,MONTOUR,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",3771,1619,2130,22
2020 Presidential Election,MONTOUR,President of the United States,Republican,"TRUMP, DONALD J.",5844,4742,1051,51
2020 Presidential Election,MONTOUR,President of the United States,Libertarian,"JORGENSEN, JO",156,114,42,0
2020 Presidential Election,NORTHAMPTON,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",85087,30753,53481,853
2020 Presidential Election,NORTHAMPTON,President of the United States,Republican,"TRUMP, DONALD J.",83854,63666,19220,968
