Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose
2020-12-18,Allegheny,1570,NA,NA,NA
2020-12-18,Armstrong,78,NA,NA,NA
2020-12-18,Beaver,242,NA,NA,NA
2020-12-18,Bedford,16,NA,NA,NA
2020-12-18,Berks,84,NA,NA,NA
2020-12-18,Blair,110,NA,NA,NA
2020-12-18,Bradford,31,NA,NA,NA
2020-12-18,Bucks,820,NA,NA,NA
2020-12-18,Butler,398,NA,NA,NA
2020-12-18,Cambria,192,NA,NA,NA
2020-12-18,Carbon,48,NA,NA,NA
2020-12-18,Centre,310,NA,NA,NA
2020-12-18,Chester,316,NA,NA,NA
2020-12-18,Clarion,95,NA,NA,NA
2020-12-18,Clearfield,172,NA,NA,NA
2020-12-18,Clinton,19,NA,NA,NA
2020-12-18,Columbia,93,NA,NA,NA
2020-12-18,Crawford,87,NA,NA,NA
2020-12-18,Cumberland,22,NA,NA,NA
2020-12-18,Dauphin,31,NA,NA,NA
2020-12-18,Delaware,465,1,NA,NA
2020-12-18,Elk,36,NA,NA,NA
2020-12-18,Erie,288,NA,NA,NA
2020-12-18,Fayette,323,1,NA,NA
2020-12-18,Forest,12,NA,NA,NA
2020-12-18,Franklin,33,NA,NA,NA
2020-12-18,Greene,10,NA,NA,NA
2020-12-18,Huntingdon,20,NA,NA,NA
2020-12-18,Indiana,87,NA,NA,NA
2020-12-18,Jefferson,98,NA,NA,NA
2020-12-18,Juniata,10,NA,NA,NA
2020-12-18,Lackawanna,132,NA,NA,NA
2020-12-18,Lancaster,338,NA,NA,NA
2020-12-18,Lawrence,41,NA,NA,NA
2020-12-18,Lebanon,10,NA,NA,NA
2020-12-18,Lehigh,753,NA,NA,NA
2020-12-18,Luzerne,248,NA,NA,NA
2020-12-18,Lycoming,79,NA,NA,NA
2020-12-18,McKean,5,NA,NA,NA
2020-12-18,Mercer,56,NA,NA,NA
2020-12-18,Mifflin,50,NA,NA,NA
2020-12-18,Monroe,106,NA,NA,NA
2020-12-18,Montgomery,940,NA,NA,NA
2020-12-18,Montour,228,NA,NA,NA
2020-12-18,Northampton,465,NA,NA,NA
2020-12-18,Northumberland,129,NA,NA,NA
2020-12-18,Perry,3,NA,NA,NA
2020-12-18,Philadelphia,1770,5,NA,NA
2020-12-18,Pike,9,NA,NA,NA
2020-12-18,Potter,10,NA,NA,NA
2020-12-18,Schuylkill,119,NA,NA,NA
2020-12-18,Snyder,61,NA,NA,NA
2020-12-18,Somerset,83,NA,NA,NA
2020-12-18,Sullivan,1,NA,NA,NA
2020-12-18,Susquehanna,1,NA,NA,NA
2020-12-18,Tioga,2,NA,NA,NA
2020-12-18,Union,161,NA,NA,NA
2020-12-18,Venango,42,NA,NA,NA
2020-12-18,Warren,11,NA,NA,NA
2020-12-18,Washington,205,NA,NA,NA
2020-12-18,Wayne,6,NA,NA,NA
2020-12-18,Westmoreland,640,NA,NA,NA
2020-12-18,Wyoming,4,NA,NA,NA
2020-12-18,York,140,NA,NA,NA
2020-12-19,Adams,9,NA,NA,NA
2020-12-19,Allegheny,1008,NA,NA,NA
2020-12-19,Armstrong,22,NA,NA,NA
2020-12-19,Beaver,15,NA,NA,NA
2020-12-19,Bedford,3,NA,NA,NA
2020-12-19,Berks,31,NA,NA,NA
2020-12-19,Blair,48,NA,NA,NA
2020-12-19,Bradford,49,NA,NA,NA
2020-12-19,Bucks,360,NA,NA,NA
2020-12-19,Butler,120,NA,NA,NA
2020-12-19,Cambria,20,NA,NA,NA
2020-12-19,Carbon,34,NA,NA,NA
2020-12-19,Centre,156,NA,NA,NA
2020-12-19,Chester,400,NA,NA,NA
2020-12-19,Clarion,20,NA,NA,NA
2020-12-19,Clearfield,27,NA,NA,NA
2020-12-19,Clinton,14,NA,NA,NA
2020-12-19,Columbia,90,NA,NA,NA
2020-12-19,Crawford,429,NA,NA,NA
2020-12-19,Cumberland,31,NA,NA,NA
2020-12-19,Dauphin,19,NA,NA,NA
2020-12-19,Delaware,393,NA,NA,NA
2020-12-19,Elk,1,NA,NA,NA
2020-12-19,Erie,255,NA,NA,NA
2020-12-19,Fayette,105,NA,NA,NA
2020-12-19,Forest,4,NA,NA,NA
2020-12-19,Franklin,129,NA,NA,NA
2020-12-19,Greene,1,NA,NA,NA
2020-12-19,Huntingdon,10,NA,NA,NA
2020-12-19,Indiana,31,NA,NA,NA
2020-12-19,Jefferson,4,NA,NA,NA
2020-12-19,Juniata,2,NA,NA,NA
2020-12-19,Lackawanna,99,NA,NA,NA
2020-12-19,Lancaster,156,NA,NA,NA
2020-12-19,Lawrence,10,NA,NA,NA
2020-12-19,Lebanon,65,NA,NA,NA
2020-12-19,Lehigh,392,NA,NA,NA
2020-12-19,Luzerne,139,NA,NA,NA
2020-12-19,Lycoming,127,NA,NA,NA
2020-12-19,Mercer,32,NA,NA,NA
2020-12-19,Mifflin,25,NA,NA,NA
2020-12-19,Monroe,53,NA,NA,NA
2020-12-19,Montgomery,405,NA,NA,NA
2020-12-19,Montour,214,NA,NA,NA
2020-12-19,Northampton,304,NA,NA,NA
2020-12-19,Northumberland,80,NA,NA,NA
2020-12-19,Philadelphia,809,NA,NA,NA
2020-12-19,Pike,3,NA,NA,NA
2020-12-19,Potter,1,NA,NA,NA
2020-12-19,Schuylkill,30,NA,NA,NA
2020-12-19,Snyder,13,NA,NA,NA
2020-12-19,Somerset,11,NA,NA,NA
2020-12-19,Susquehanna,4,NA,NA,NA
2020-12-19,Tioga,4,NA,NA,NA
2020-12-19,Union,50,NA,NA,NA
2020-12-19,Venango,41,NA,NA,NA
2020-12-19,Warren,14,NA,NA,NA
2020-12-19,Washington,83,NA,NA,NA
2020-12-19,Wayne,11,NA,NA,NA
2020-12-19,Westmoreland,102,NA,NA,NA
2020-12-19,Wyoming,5,NA,NA,NA
2020-12-19,York,231,NA,NA,NA
2020-12-20,Adams,12,NA,NA,NA
2020-12-20,Allegheny,623,NA,NA,NA
2020-12-20,Armstrong,9,NA,NA,NA
2020-12-20,Beaver,19,NA,NA,NA
2020-12-20,Berks,80,NA,NA,NA
2020-12-20,Blair,7,NA,NA,NA
2020-12-20,Bucks,97,1,NA,NA
2020-12-20,Butler,30,NA,NA,NA
2020-12-20,Cambria,10,NA,NA,NA
2020-12-20,Carbon,17,NA,NA,NA
2020-12-20,Centre,47,NA,NA,NA
2020-12-20,Chester,397,1,NA,NA
2020-12-20,Clarion,4,NA,NA,NA
2020-12-20,Clearfield,6,NA,NA,NA
2020-12-20,Clinton,13,NA,NA,NA
2020-12-20,Columbia,49,NA,NA,NA
2020-12-20,Crawford,5,NA,NA,NA
2020-12-20,Cumberland,157,NA,NA,NA
2020-12-20,Dauphin,123,NA,NA,NA
2020-12-20,Delaware,311,1,NA,NA
2020-12-20,Elk,1,NA,NA,NA
2020-12-20,Erie,132,NA,NA,NA
2020-12-20,Fayette,2,NA,NA,NA
2020-12-20,Franklin,4,NA,NA,NA
2020-12-20,Huntingdon,4,NA,NA,NA
2020-12-20,Indiana,4,NA,NA,NA
2020-12-20,Jefferson,2,NA,NA,NA
2020-12-20,Juniata,2,NA,NA,NA
2020-12-20,Lackawanna,80,NA,NA,NA
2020-12-20,Lancaster,189,NA,NA,NA
2020-12-20,Lebanon,17,NA,NA,NA
2020-12-20,Lehigh,145,NA,NA,NA
2020-12-20,Luzerne,172,1,NA,NA
2020-12-20,Lycoming,19,NA,NA,NA
2020-12-20,Mifflin,24,NA,NA,NA
2020-12-20,Monroe,52,NA,NA,NA
2020-12-20,Montgomery,253,4,NA,NA
2020-12-20,Montour,61,NA,NA,NA
2020-12-20,Northampton,233,NA,NA,NA
2020-12-20,Northumberland,43,NA,NA,NA
2020-12-20,Perry,18,NA,NA,NA
2020-12-20,Philadelphia,399,NA,NA,NA
2020-12-20,Pike,3,NA,NA,NA
2020-12-20,Schuylkill,22,NA,NA,NA
2020-12-20,Snyder,10,NA,NA,NA
2020-12-20,Somerset,13,NA,NA,NA
